07NDG N045.58.48.000 E125.45.00.000
OPIMU N041.14.12.001 E118.35.38.000
ORAVA N038.42.36.000 E120.12.20.999
OSUTU N041.48.02.999 E124.33.54.000
OSVEN N038.15.00.000 E120.21.10.001
OTABO N044.27.15.001 E123.54.54.000
OVTUP N038.25.55.999 E119.58.50.002
PABKI N044.43.52.000 E126.03.33.998
PATRI N038.33.27.000 E121.30.42.001
PIGAM N045.01.23.002 E124.48.41.000
PONIL N038.51.00.000 E124.14.48.001
POVAG N038.16.44.000 E122.15.04.000
PUMUP N044.44.37.000 E125.56.38.000
Q N043.42.23.288 E126.30.43.139
QQ401 N046.56.58.999 E124.21.15.998
QQ403 N047.29.17.999 E123.25.22.001
QQ408 N047.14.22.999 E123.44.31.999
QQ410 N046.59.44.002 E124.03.46.001
QQ551 N047.07.09.001 E123.59.22.999
QQ651 N047.22.54.001 E123.49.59.999
QQ652 N047.25.57.000 E124.01.09.998
QQ653 N047.04.54.001 E123.51.56.002
RANBO N038.58.49.001 E121.08.35.002
REDEM N038.48.22.000 E121.20.26.002
RUPID N038.24.29.002 E122.24.40.000
RUSBO N044.33.37.001 E124.07.05.999
SAMAV N043.47.03.998 E128.47.30.001
SANAR N043.12.55.001 E131.27.02.999
SANKO N038.15.00.000 E122.27.11.999
SAREV N045.46.27.001 E127.15.09.000
SARUD N038.49.53.000 E120.09.47.999
SARUL N048.30.51.001 E115.47.12.001
SEY29 N041.32.09.841 E124.06.34.351
SEY33 N041.32.53.999 E124.11.30.001
SEY35 N042.00.26.971 E124.05.12.080
SIMLI N050.17.24.000 E127.22.05.999
SULTI N046.18.19.001 E126.36.47.002
T N039.01.57.479 E121.48.35.572
T N041.51.41.242 E123.50.32.489
T N043.32.01.061 E125.19.37.340
TANIB N038.22.54.001 E121.05.12.998
TELOK N049.37.59.999 E117.22.00.001
TEPOD N047.48.06.998 E122.46.09.998
TL102 N038.58.35.000 E121.15.32.000
TL103 N038.58.49.001 E121.08.35.002
TL104 N039.05.03.998 E121.09.20.002
TL105 N038.54.15.001 E121.08.02.000
TL106 N039.04.34.000 E121.16.16.000
TL107 N038.53.44.002 E121.14.56.000
TL110 N039.03.40.000 E121.28.21.000
TL111 N038.52.40.001 E121.29.12.001
TL112 N038.57.47.999 E121.34.16.000
TL113 N038.49.00.001 E122.15.31.000
TL201 N038.57.00.000 E121.44.26.002
TL202 N039.02.21.998 E121.45.07.999
TL203 N039.03.20.002 E121.32.34.001
TL204 N039.04.00.998 E121.23.30.998
TL205 N038.57.56.002 E121.32.20.000
TL206 N038.52.53.000 E121.25.50.999
TL208 N038.46.27.001 E121.45.36.000
TL209 N039.02.12.001 E121.49.09.001
TL301 N038.56.57.001 E121.45.02.999
TL302 N038.56.48.998 E121.46.37.999
TL303 N038.56.17.002 E121.53.35.002
TL304 N038.55.27.001 E122.04.01.999
TL305 N038.50.02.000 E122.03.19.001
TL306 N039.00.49.000 E122.04.45.998
TL307 N038.50.49.999 E121.52.52.000
TL308 N039.01.36.998 E121.54.16.999
TL309 N038.51.23.000 E121.45.56.002
TL310 N039.02.12.001 E121.47.20.000
TL311 N038.52.21.000 E121.33.32.000
TL312 N038.35.57.998 E121.36.47.999
TL401 N038.58.44.000 E121.21.42.001
TL402 N038.59.21.001 E121.13.23.999
TL403 N039.04.44.000 E121.14.03.998
TL404 N039.04.07.000 E121.22.22.001
TL405 N039.00.51.001 E120.52.34.000
TL406 N039.03.10.001 E121.34.54.001
TL407 N039.02.04.999 E121.48.46.001
TL408 N038.52.41.999 E121.29.53.999
TL409 N038.53.39.001 E121.17.08.999
TL410 N038.48.22.000 E121.20.26.002
TL411 N038.40.18.998 E121.19.26.000
TL500 N038.58.03.101 E121.31.18.998
TL501 N038.58.07.100 E121.29.23.600
TL502 N038.58.22.699 E121.21.40.500
TL503 N038.58.23.902 E121.21.04.702
TL504 N038.57.49.100 E121.38.01.500
TLC04 N038.54.57.301 E121.38.01.201
TOGEP N046.01.19.999 E127.06.15.001
TOMUK N038.42.54.000 E124.00.00.000
TOSID N040.34.54.998 E123.33.59.000
TUSGI N037.35.35.999 E122.58.00.001
TX401 N041.43.34.000 E122.07.55.999
TX402 N041.42.34.999 E122.07.44.000
TX403 N041.35.56.000 E122.06.24.998
TX404 N041.33.38.002 E122.05.57.998
TX405 N041.35.48.998 E123.15.19.001
TX408 N041.26.12.998 E123.10.39.000
TX409 N040.46.44.000 E123.38.11.000
TX410 N040.54.34.999 E123.54.22.000
TX411 N041.25.52.000 E124.06.16.999
TX412 N041.22.27.001 E124.14.29.000
TX413 N042.00.14.000 E124.32.19.000
TX414 N041.56.53.999 E124.40.40.001
TX415 N042.41.17.002 E125.00.37.001
TX416 N042.38.03.998 E125.09.07.999
TX503 N041.30.40.000 E123.17.21.001
TX504 N041.26.22.999 E123.21.45.000
TX505 N041.25.50.999 E123.31.22.001
TX506 N041.33.51.001 E123.33.01.001
TX507 N041.24.06.001 E123.45.36.000
TX508 N041.43.09.998 E123.47.11.000
TX509 N041.32.39.998 E124.00.31.000
TX510 N041.22.54.001 E123.55.19.999
TX511 N041.37.00.998 E124.08.08.999
TX512 N041.08.26.999 E124.04.19.999
TX513 N041.40.00.998 E124.27.49.000
TX514 N041.28.27.001 E124.19.05.999
TX515 N042.09.45.000 E124.38.48.998
TX516 N041.31.10.999 E122.48.29.002
TX517 N041.28.53.000 E122.48.01.001
TX518 N041.19.59.002 E123.28.23.002
TX551 N041.42.38.002 E123.35.24.000
TX552 N041.47.12.998 E123.42.24.001
TX553 N041.51.16.999 E123.37.36.998
TX554 N041.46.40.001 E123.30.37.001
TX555 N041.42.02.002 E123.24.41.000
TX556 N041.54.43.999 E123.53.53.002
TX557 N042.01.59.002 E124.05.02.000
TX558 N041.39.43.999 E124.07.52.000
TX559 N041.30.34.999 E124.01.13.001
TX560 N042.08.03.001 E124.48.19.001
TX561 N041.43.28.999 E124.19.34.000
TX562 N041.29.47.000 E124.09.06.998
TX563 N041.14.55.000 E123.58.21.000
TX564 N041.34.27.001 E123.23.02.000
TX602 N041.45.42.001 E123.40.05.002
TX603 N041.47.37.000 E123.43.00.001
TX604 N041.51.40.000 E123.38.12.001
TX605 N041.41.57.998 E123.45.20.999
TX606 N041.32.48.001 E123.58.09.998
TX607 N041.48.07.999 E123.54.46.001
TX608 N041.52.12.000 E123.49.59.002
TX609 N041.34.41.002 E124.23.43.001
TX611 N042.14.11.000 E124.22.05.999
TX612 N041.38.24.000 E123.39.55.001
TX613 N041.29.12.001 E123.05.21.998
TX614 N041.27.11.999 E123.02.22.999
TX615 N041.34.17.000 E123.33.40.000
TX616 N041.42.54.000 E124.17.49.999
TX651 N041.33.58.000 E123.22.18.998
TX652 N041.37.36.001 E123.17.60.000
TX653 N041.27.59.000 E123.26.37.000
TX654 N041.25.18.001 E123.35.53.002
TX655 N041.33.06.001 E123.47.43.001
TX656 N041.36.32.000 E123.52.57.000
TX657 N041.25.05.002 E124.16.27.998
TX658 N041.45.02.999 E123.50.03.001
TX659 N041.23.30.998 E123.22.18.001
TX661 N040.53.13.999 E123.42.49.000
TX662 N041.49.07.000 E123.45.16.999
U N041.40.13.051 E123.47.38.339
UDETI N038.41.30.001 E122.09.36.000
UGABI N044.07.36.001 E128.33.00.000
UGASA N038.34.18.998 E119.57.58.000
UGRUP N043.36.51.998 E123.11.53.999
UKDIN N045.03.14.000 E126.51.55.001
UKDUM N041.29.51.000 E118.26.39.998
UNSEK N038.36.46.001 E120.14.08.002
UPKED N045.03.27.000 E126.00.02.999
UPNAT N041.56.35.002 E119.25.28.999
V N038.39.12.949 E121.32.50.662
V N041.41.33.101 E123.49.55.391
V N043.07.54.001 E129.15.47.999
V N043.44.30.001 E125.16.36.001
V N044.22.54.001 E129.12.47.999
VABRA N038.58.44.000 E121.21.42.001
VAPGU N038.46.23.002 E119.49.44.000
VASRO N042.27.50.000 E129.44.25.001
VENOS N038.54.10.001 E122.19.36.001
VETEX N045.34.45.001 E126.36.50.000
VIDUX N039.00.51.001 E120.52.34.000
VILIX N041.16.52.000 E124.10.26.000
W N041.45.57.420 E123.56.20.299
W N043.03.42.001 E129.35.42.000
W N043.20.30.001 E125.32.42.000
WEH31 N037.37.36.001 E122.32.60.000
X N038.56.24.619 E121.51.22.972
X N041.52.31.598 E123.49.35.422
Y N038.43.24.982 E121.52.02.168
Y N043.32.06.000 E125.40.54.001
YJ401 N043.14.34.001 E129.44.29.000
YJ402 N043.14.58.999 E129.10.31.001
YJ406 N042.59.21.998 E129.25.45.998
YJ407 N042.53.37.000 E129.33.06.998
YJ408 N043.07.37.999 E128.59.12.998
YJ409 N043.17.55.000 E128.39.34.999
YJ503 N042.50.58.999 E129.08.48.998
YJ504 N042.57.24.001 E129.07.30.000
YJ506 N042.53.39.998 E129.08.16.001
YJ603 N042.54.38.999 E129.42.58.000
YJ604 N043.01.04.001 E129.41.42.000
YJ605 N043.07.55.999 E129.43.10.999
YJ606 N042.59.02.000 E129.22.32.999
YJ607 N042.58.25.000 E129.16.50.999
Z N041.29.30.001 E123.25.36.001
Z N043.45.11.999 E126.01.54.001
D250 N043.37.02.179 E125.16.04.458
D238 N043.31.53.065 E125.19.38.096
D225 N043.27.23.645 E125.24.36.680
D254 N043.38.47.162 E125.15.15.815
D245 N043.35.07.019 E125.17.10.964
D229 N043.28.41.138 E125.22.57.011
D221 N043.26.01.723 E125.26.37.716
D219 N043.25.29.914 E125.27.29.898
D233 N043.29.57.570 E125.21.30.406
D246 N043.35.17.704 E125.17.04.182
D216 N043.24.39.496 E125.28.59.743
D227 N043.27.52.351 E125.23.58.236
D244 N043.34.41.452 E125.17.27.719
D252 N043.37.53.231 E125.15.39.431
D315V N043.08.13.157 E129.06.19.912
D299V N043.03.26.078 E129.01.24.553
D283V N042.57.50.576 E128.58.29.604
D314V N043.07.57.083 E129.05.58.308
D297V N043.02.46.280 E129.00.55.735
D280V N042.56.44.362 E128.58.11.438
